Firm,WC,Category
1,309.577,1
2,363.79,1
3,341.399,1
4,363.616,1
5,323.673,1
6,323.353,1
7,350.371,1
8,240.602,1
9,220.057,1
10,287.837,1
11,274.6,1
12,278.494,1
13,234.267,1
14,284.923,1
15,190.62,1
16,327.76,1
17,211.94,1
18,373.571,1
19,219.891,1
20,193.489,1
21,204.333,1
22,205.657,1
23,362.361,1
24,285.562,1
25,352.649,1
26,400.44,1
27,307.301,1
28,240.314,1
29,322.995,1
30,408.197,1
31,209.027,1
32,198.979,1
33,340.418,1
34,320.154,1
35,3338.61,0
36,3801.72,0
37,2818.817,0
38,1250.953,0
39,2444.406,0
40,937.917,0
41,1600.792,0
42,3128.813,0
43,2486.803,0
44,4220.996,0
45,2585.41,0
46,3512.085,0
47,4170.333,0
48,938.879,0
49,1437.695,0
50,627.985,0
51,4430.049,0
52,989.568,0
53,3275.474,0
54,1500.437,0
55,848.989,0
56,1386.494,0
57,1554.257,0
58,2228.338,0
59,2568.391,0
60,1720.128,0
61,4106.106,0
62,3500.883,0
63,1217.846,0
64,3544.406,0
65,2082.873,0
66,709.01,0
67,2523.939,0
68,2781.307,0
